feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
liwc_prepositions,-0.007976617282672247,0.0365030133706609,-0.07952120881635165,0.06356797425100714,0.8270244295166203,348,104,0.9045579697838034
liwc_personal_concerns,0.007333008985046928,0.040390493593048075,-0.0718309037751231,0.08649692174521695,0.8559336586773567,348,104,0.9138954545352159
liwc_home,0.007032730360152089,0.03874263964054119,-0.06890144800132247,0.08296690872162665,0.8559560649964415,348,104,0.9138954545352159
liwc_anger_words,0.006694885069589489,0.03842223260831679,-0.06861130704833189,0.08200107718751086,0.8616728571332035,348,104,0.9138954545352159
liwc_abstract,0.006439197355798923,0.04147388158290208,-0.0748481168457682,0.08772651155736605,0.8766170613047901,348,104,0.9204479143700297
liwc_articles,0.005840730274373204,0.04077155927955315,-0.0740700575070908,0.08575151805583721,0.8860887833386052,348,104,0.9211814084213222
liwc_sexual,0.0063179547029448046,0.052257082488986174,-0.09610404491260682,0.10873995431849642,0.90376912917303,348,104,0.9303505741487074
liwc_interrogatives,-0.003766971348552818,0.03875484212887697,-0.07972506614768728,0.07219112345058164,0.9225675538333491,348,104,0.9404814869174919
liwc_all_punctuation,-0.003186549001862353,0.04109553161703704,-0.08373231089678204,0.07735921289305733,0.9381939429903547,348,104,0.9472150385960312
liwc_personal_pronouns,-0.00015300601041801518,0.047858878355404394,-0.09395468392749416,0.09364867190665814,0.9974491477933981,348,104,0.9974491477933981
