feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_tentative,-0.45270207973094045,0.3555057998580063,-1.1494806437477374,0.2440764842858565,0.20287514553342245,348.0,104.0,0.48621751524487095,1.0
liwc_exclamations,0.404370886082848,0.3181655809389638,-0.21922219367778462,1.0279639658434805,0.20374829210261258,348.0,104.0,0.48621751524487095,1.0
liwc_causation,0.42716880451830813,0.34328481914577047,-0.24565707744674797,1.0999946864833643,0.21336826896425654,348.0,104.0,0.4978592942499319,1.0
liwc_approach,0.4204198196952249,0.3643155988803989,-0.2936256331164977,1.1344652725069475,0.2485005981459516,348.0,104.0,0.5606976769712737,1.0
liwc_drives,-0.4031124261725667,0.3546240107313495,-1.0981627152591575,0.291937862914024,0.2556503787395592,348.0,104.0,0.5606976769712737,1.0
liwc_semicolons,0.535902614404642,0.472104918257336,-0.3894060223039628,1.461211251113247,0.25631893804401085,348.0,104.0,0.5606976769712737,1.0
liwc_see,0.38320111659361245,0.347313734287093,-0.297521293945204,1.0639235271324288,0.269884565411319,348.0,104.0,0.5783240687385407,1.0
liwc_body,-0.37385927659104207,0.35359174514224817,-1.066886362300514,0.31916780911842996,0.2903660167615686,348.0,104.0,0.6073251822934373,1.0
liwc_time,-0.38271935106032307,0.36545344106210886,-1.0989949335682878,0.33355623144764157,0.2949865171139553,348.0,104.0,0.6073251822934373,1.0
liwc_space,-0.3745944564546284,0.3681688374953213,-1.0961921181754382,0.3470032052661812,0.3089380210716779,348.0,104.0,0.6238171579331957,1.0
liwc_nonfluencies,0.335271956631079,0.33576579150834596,-0.32281690196586377,0.9933608152280218,0.318022798751011,348.0,104.0,0.6248701813750749,1.0
liwc_impersonal_pronouns,-0.39338202101624203,0.40303172742349136,-1.183309691393249,0.39654564936076503,0.32903611743594463,348.0,104.0,0.6248701813750749,1.0
liwc_sad_words,0.33150077611372664,0.3407995164630671,-0.33645400210255016,0.9994555543300034,0.33069500533021734,348.0,104.0,0.6248701813750749,1.0
liwc_allure,0.34117569626913147,0.35485004341822146,-0.35431760874305707,1.03666900128132,0.33631869980875995,348.0,104.0,0.6248701813750749,1.0
liwc_focus_future,0.31902297557306997,0.3418772484652614,-0.3510441185524939,0.9890900696986338,0.3507421923673759,348.0,104.0,0.6248701813750749,1.0
liwc_negative_emotion_words,0.336263031443783,0.3642942558040205,-0.3777405897069187,1.0502666525944848,0.3559794061517282,348.0,104.0,0.6248701813750749,1.0
liwc_auxiliary_verbs,-0.3239202186937958,0.3515421864107085,-1.0129302431052505,0.36508980571765887,0.3568278991605557,348.0,104.0,0.6248701813750749,1.0
liwc_conjunctions,-0.36254920662406903,0.3956483429291019,-1.1380057093080613,0.4129072960599232,0.359487528787366,348.0,104.0,0.6248701813750749,1.0
liwc_pronouns,-0.3477198040459324,0.38226681221702774,-1.0969489884762427,0.4015093803843779,0.36301981965599595,348.0,104.0,0.6248701813750749,1.0
liwc_you,0.3235048898749506,0.3772880423489962,-0.41596608492670467,1.0629758646766059,0.391197322994697,348.0,104.0,0.6485745143292779,1.0
liwc_verbs,-0.32496528503293987,0.3794067271823014,-1.0685888058024644,0.4186582357365848,0.39171628435919426,348.0,104.0,0.6485745143292779,1.0
liwc_analytical_thinking,0.32078365815922466,0.37738976192235907,-0.41888668334274454,1.060453999661194,0.3953216087340361,348.0,104.0,0.6485745143292779,1.0
liwc_cognitive_processes,-0.32419943985103167,0.3965578803278188,-1.1014386030791012,0.45303972337703796,0.4136234862314615,348.0,104.0,0.6681610162200532,1.0
liwc_ingestion,-0.28311920360264275,0.3602559148179682,-0.9892078218633901,0.42296941465810456,0.4319357022999707,348.0,104.0,0.6871704354772261,1.0
liwc_affiliation,0.27628902723008386,0.3608027855603417,-0.4308714379899141,0.9834494924500818,0.443817987031941,348.0,104.0,0.6955356513187135,1.0
