feature,b_cross,SE_cross,CI_lo,CI_hi,p_cross,b_AR,p_AR,n,n_subj,q_cross
liwc_dictionary_words,0.022938796496696185,0.04518583786168324,-0.06562381832346934,0.1115014113168617,0.6116956228017564,0.6204584624950954,1.5002229837174772e-10,244,89,0.9148964165275159
liwc_affiliation,-0.0221791805594021,0.045679818773206406,-0.1117099801752033,0.0673516190563991,0.6272964297324678,0.6115876089111102,2.4241881321510675e-10,244,89,0.9148964165275159
liwc_swear_words,0.025506496431647572,0.05472751140949533,-0.08175745489446817,0.1327704477577633,0.6411700365982238,0.614159731941541,5.67388298557391e-10,244,89,0.9148964165275159
liwc_ingestion,-0.020799672301133568,0.045456731746763165,-0.10989322937968787,0.06829388477742074,0.647260838731206,0.6113863866919609,4.312736700884333e-10,244,89,0.9148964165275159
liwc_negations,0.020301694567152587,0.04629181777376599,-0.0704286010483199,0.11103199018262506,0.6609810909608267,0.6121456931808053,3.4146743909651506e-10,244,89,0.9148964165275159
liwc_home,0.01973301406659694,0.0466184669442121,-0.0716375021585298,0.11110353029172369,0.6720855172581052,0.608019923961851,1.8078208433312043e-09,244,89,0.9148964165275159
liwc_tentative,0.018963685040778156,0.04482736710242124,-0.06889634000172311,0.10682371008327941,0.6722674498691421,0.611478363384842,6.469194798630281e-10,244,89,0.9148964165275159
liwc_body,0.01827990284391414,0.045319494570150415,-0.0705446743111392,0.1071044799989675,0.6866861429635254,0.6062908433665863,1.2053355992117311e-09,244,89,0.9148964165275159
liwc_absolutist,-0.018590103059627074,0.04636395482530081,-0.10946178469805873,0.07228157857880457,0.6884493876428543,0.6107969763763892,9.677423203828455e-10,244,89,0.9148964165275159
liwc_prepositions,-0.018090230992051676,0.04544194367853246,-0.10715480398947287,0.07097434200536952,0.6905598286041356,0.617965399923592,2.789757008791257e-10,244,89,0.9148964165275159
liwc_insight,0.018795803013224296,0.04740317358836464,-0.07411270997287071,0.1117043159993193,0.6917292888077717,0.6113482217768826,2.980316169819578e-10,244,89,0.9148964165275159
liwc_question_marks,0.018338096609559464,0.04676651702031358,-0.07332259243263459,0.10999878565175353,0.694969393323786,0.6124133182535381,5.956369242784462e-10,244,89,0.9148964165275159
liwc_sad_words,0.016712391943846102,0.04512830481784468,-0.07173746018247487,0.10516224407016708,0.7111361807513892,0.6079633349930721,1.8691268085066708e-09,244,89,0.9160351908051104
liwc_articles,-0.016940367652320605,0.046130638947271485,-0.10735475857279342,0.07347402326815222,0.713450485146288,0.6101853157216341,4.145928405986686e-10,244,89,0.9160351908051104
liwc_focus_present,0.014937030612946755,0.04521426036921356,-0.07368129129832851,0.10355535252422202,0.7411271671307527,0.6147852038729377,4.416747134176031e-10,244,89,0.9353007145007245
liwc_periods,0.015104852203949071,0.04671586681534852,-0.07645656426070391,0.10666626866860204,0.7464419163803859,0.6062233367911818,1.3605270530167988e-09,244,89,0.9353007145007245
liwc_analytical_thinking,-0.013649582891388724,0.04718281084852918,-0.10612619284387166,0.07882702706109422,0.7723583688250516,0.6108622418210536,5.837792989636012e-10,244,89,0.9471086094932051
liwc_you,-0.012622083267682245,0.045270795481346805,-0.10135121196260061,0.07610704542723612,0.7803883887813298,0.6117039884703133,5.29768924009028e-10,244,89,0.9471086094932051
liwc_dashes,0.01239857118158975,0.047506104666965664,-0.08071168301145312,0.10550882537463263,0.7941009831008865,0.6117668777471754,6.11142110439786e-10,244,89,0.9471086094932051
liwc_causation,-0.012012186264573885,0.047134503662992926,-0.10439411587321128,0.08036974334406351,0.7988396436754782,0.619409450814992,3.9280438516100706e-10,244,89,0.9471086094932051
liwc_other_grammar,0.011116020058549374,0.04419252931237347,-0.07549974577943326,0.09773178589653202,0.8013995926480966,0.6125584582469575,4.135617275149741e-10,244,89,0.9471086094932051
liwc_emotional_tone,-0.009558896213094897,0.04771098773296727,-0.10307071383654307,0.08395292141035327,0.8412068637592719,0.6050859364703487,1.2740913693678302e-08,244,89,0.970717869834186
liwc_all_punctuation,0.008841644568408845,0.046056196771183874,-0.08142684236800148,0.09911013150481916,0.847761682954526,0.6142871020178812,5.118718947126925e-10,244,89,0.970717869834186
liwc_high_empathy,-0.008389709403109078,0.04600236295950311,-0.09855268400747459,0.08177326520125643,0.855287958437696,0.6127775373154603,9.942703533469653e-10,244,89,0.970717869834186
